id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
192,FRG (BRD / Westdeutschland),Turkey (Türkiye),4.0,1.0,FRG (BRD / Westdeutschland),1954-01-01,GROUP_STAGE,Bern,1954
193,FRG (BRD / Westdeutschland),Turkey (Türkiye),7.0,2.0,FRG (BRD / Westdeutschland),1954-01-01,GROUP_STAGE,Zürich,1954
194,FRG (BRD / Westdeutschland),Yugoslavia (Југославија),2.0,0.0,FRG (BRD / Westdeutschland),1954-01-01,1/4_FINAL,Genève,1954
195,Greece (Ελλάδα),Yugoslavia (Југославија),0.0,1.0,Yugoslavia (Југославија),1954-01-01,PRELIMINARY-Eur./N.E.,Athína,1954
196,Haiti (Haïti),USA,2.0,3.0,USA,1954-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1954
197,Hungary (Magyarország),FRG (BRD / Westdeutschland),8.0,3.0,Hungary (Magyarország),1954-01-01,GROUP_STAGE,Basel,1954
198,Hungary (Magyarország),South Korea (한국),9.0,0.0,Hungary (Magyarország),1954-01-01,GROUP_STAGE,Zürich,1954
199,Israel (ישראל),Greece (Ελλάδα),0.0,2.0,Greece (Ελλάδα),1954-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1954
200,Israel (ישראל),Yugoslavia (Југославија),0.0,1.0,Yugoslavia (Југославија),1954-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1954
201,Italy (Italia),Egypt (مصر),5.0,1.0,Italy (Italia),1954-01-01,PRELIMINARY-Eu./Afr.,Milano,1954
202,Japan (日本),South Korea (한국),1.0,5.0,South Korea (한국),1954-01-01,PRELIMINARY-Asia,Tokyo,1954
203,Luxembourg (Lëtzebuerg),Ireland (Éire),0.0,1.0,Ireland (Éire),1954-01-01,PRELIMINARY-Europe,Luxembourg,1954
204,Mexico (México),USA,3.0,1.0,Mexico (México),1954-01-01,PRELIMINARY-N/C.America,México D.F,1954
205,Paraguay,Brazil (Brasil),0.0,1.0,Brazil (Brasil),1954-01-01,PRELIMINARY-S.America,Asunción,1954
206,Paraguay,Chile,4.0,0.0,Paraguay,1954-01-01,PRELIMINARY-S.America,Asunción,1954
207,Saarland,FRG (BRD / Westdeutschland),1.0,3.0,FRG (BRD / Westdeutschland),1954-01-01,PRELIMINARY-Europe,Saarbrücken,1954
208,Scotland,England,2.0,4.0,England,1954-01-01,PRELIMINARY-Europe,Glasgow,1954
209,South Korea (한국),Japan (日本),2.0,2.0,draw,1954-01-01,PRELIMINARY-Asia,Tokyo,1954
210,Spain (España),Turkey (Türkiye),4.0,1.0,Spain (España),1954-01-01,PRELIMINARY-Europe,Madrid,1954
211,Turkey (Türkiye),South Korea (한국),7.0,0.0,Turkey (Türkiye),1954-01-01,GROUP_STAGE,Genève,1954
212,Turkey (Türkiye),Spain (España),1.0,0.0,Turkey (Türkiye),1954-01-01,PRELIMINARY-Europe,İstanbul,1954
213,Turkey (Türkiye),Spain (España),2.0,2.0,draw,1954-01-01,PRELIMINARY-Europe,Roma,1954
214,USA,Haiti (Haïti),3.0,0.0,USA,1954-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1954
215,USA,Mexico (México),0.0,4.0,Mexico (México),1954-01-01,PRELIMINARY-N/C.America,México D.F,1954
216,Wales (Cymru),Northern Ireland (Ulster),1.0,2.0,Northern Ireland (Ulster),1954-01-01,PRELIMINARY-Europe,Wrexham,1954
217,Austria (Österreich),Scotland,1.0,0.0,Austria (Österreich),1954-06-16,GROUP_STAGE,Zürich,1954
218,Brazil (Brasil),Mexico (México),5.0,0.0,Brazil (Brasil),1954-06-16,GROUP_STAGE,Genève,1954
