id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,edition_year,is_placeholder_date,home_team_id,away_team_id
177,Belgium,France,1.0,2.0,France,1953-01-01,PRELIMINARY-Europe,Sofija,1958-SWEDEN,1958,True,25,90
178,Belgium,Iceland,0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Bratislava,1958-SWEDEN,1958,True,25,113
179,Bolivia,Argentina,2.0,0.0,Bolivia,1953-01-01,PRELIMINARY-Europe,Praha,1958-SWEDEN,1958,True,29,12
180,Brazil,Peru,3.0,1.0,Brazil,1953-01-01,PRELIMINARY-Europe,Liverpool,1958-SWEDEN,1958,True,33,177
181,Bulgaria,Hungary,5.0,1.0,Bulgaria,1953-01-01,PRELIMINARY-Europe,Hamburg,1958-SWEDEN,1958,True,36,112
182,Bulgaria,Norway,3.0,0.0,Bulgaria,1953-01-01,PRELIMINARY-Europe,Stuttgart,1958-SWEDEN,1958,True,36,170
183,Canada,Mexico,2.0,4.0,Mexico,1953-01-01,PRELIMINARY-Europe,Helsinki,1958-SWEDEN,1958,True,43,151
184,Canada,United States,3.0,3.0,draw,1953-01-01,PRELIMINARY-Europe,Helsinki,1958-SWEDEN,1958,True,43,236
185,Chile,Argentina,1.0,0.0,Chile,1953-01-01,PRELIMINARY-Europe,Paris,1958-SWEDEN,1958,True,48,12
186,Chile,Bolivia,8.0,0.0,Chile,1953-01-01,PRELIMINARY-Europe,Paris,1958-SWEDEN,1958,True,48,29
187,Colombia,Uruguay,3.0,5.0,Uruguay,1953-01-01,PRELIMINARY-Europe,Dublin,1958-SWEDEN,1958,True,50,238
188,Costa Rica,Curacao,4.0,0.0,Costa Rica,1953-01-01,PRELIMINARY-Europe,Dublin,1958-SWEDEN,1958,True,54,57
189,Costa Rica,Guatemala,1.0,6.0,Guatemala,1953-01-01,PRELIMINARY-Europe,Luxembourg,1958-SWEDEN,1958,True,54,102
190,Curacao,Costa Rica,1.0,3.0,Costa Rica,1953-01-01,PRELIMINARY-Europe,Belfast,1958-SWEDEN,1958,True,57,54
191,Curacao,Guatemala,1.0,1.0,draw,1953-01-01,PRELIMINARY-Europe,Oslo,1958-SWEDEN,1958,True,57,102
192,Czechoslovakia,GDR,2.0,3.0,GDR,1953-01-01,PRELIMINARY-Europe,Oslo,1958-SWEDEN,1958,True,60,93
193,Czechoslovakia,Wales,0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Lisboa,1958-SWEDEN,1958,True,60,245
194,Denmark,England,3.0,1.0,Denmark,1953-01-01,PRELIMINARY-Europe,Bucuresti,1958-SWEDEN,1958,True,66,79
195,Denmark,Ireland,0.0,1.0,Ireland,1953-01-01,PRELIMINARY-Europe,Bucuresti,1958-SWEDEN,1958,True,66,118
196,England,Ireland,0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Saarbrucken,1958-SWEDEN,1958,True,79,118
197,Finland,Poland,3.0,3.0,draw,1953-01-01,PRELIMINARY-Europe,Glasgow,1958-SWEDEN,1958,True,89,179
198,Finland,USSR,2.0,3.0,USSR,1953-01-01,PRELIMINARY-Europe,Stockholm,1958-SWEDEN,1958,True,89,232
199,France,Iceland,4.0,0.0,France,1953-01-01,PRELIMINARY-Europe,Stockholm,1958-SWEDEN,1958,True,90,113
200,GDR,Czechoslovakia,1.0,4.0,Czechoslovakia,1953-01-01,PRELIMINARY-Europe,Cardiff,1958-SWEDEN,1958,True,93,60
201,Ireland,Denmark,9.0,1.0,Ireland,1953-01-01,PRELIMINARY-Europe,Wien,1958-SWEDEN,1958,True,118,66
202,Colombia,Paraguay,0.0,4.0,Paraguay,1953-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1958-SWEDEN,1958,True,50,176
203,Costa Rica,Mexico,8.0,0.0,Costa Rica,1953-01-01,PRELIMINARY-N/C.America,Mexico D.F,1958-SWEDEN,1958,True,54,151
