id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,is_final
1713,Ireland,USSR,2,2,draw,,Preliminary round,Freetown,1986,False
1714,Israel,Australia,1,0,Israel,,Preliminary round,Chorzow,1986,False
1715,Israel,New Zealand,6,0,Israel,,Preliminary round,Wrocław,1986,False
1716,Israel,Taiwan,2,1,Israel,,Preliminary round,Lisboa,1986,False
1717,Japan,Hong Kong,3,0,Japan,,Preliminary round,Riyadh,1986,False
1718,Japan,North Korea,0,1,North Korea,,Preliminary round,Riyadh,1986,False
1719,Japan,Singapore,0,1,Singapore,,Preliminary round,Riyadh,1986,False
1720,Japan,South Korea,2,1,Japan,,Preliminary round,Riyadh,1986,False
1721,Jordan,Iraq,0,0,draw,,Preliminary round,Bucuresti,1986,False
1722,Jordan,Qatar,1,0,Jordan,,Preliminary round,Bucuresti,1986,False
1723,Kenya,Ethiopia,0,1,Ethiopia,,Preliminary round,Hong Kong,1986,False
1724,Kenya,Nigeria,1,2,Nigeria,,Preliminary round,Bucuresti,1986,False
1725,Kuwait,North Yemen,2,4,North Yemen,,Preliminary round,Kuala Lumpur,1986,False
1726,Kuwait,Syria,0,1,Syria,,Preliminary round,Riyadh,1986,False
1727,Liberia,Nigeria,1,1,draw,,Preliminary round,Mogadisho,1986,False
1728,Libya,Ghana,0,5,Ghana,,Preliminary round,Riyadh,1986,False
1729,Libya,Morocco,3,1,Libya,,Preliminary round,Glasgow,1986,False
1730,Libya,Sudan,1,1,draw,,Preliminary round,Glasgow,1986,False
1731,Luxembourg,Bulgaria,2,0,Luxembourg,,Preliminary round,Glasgow,1986,False
1732,Luxembourg,France,5,0,Luxembourg,,Preliminary round,Moskva,1986,False
1733,Luxembourg,GDR,1,1,draw,,Preliminary round,Khartoum,1986,False
1734,Luxembourg,Yugoslavia,2,1,Luxembourg,,Preliminary round,Kuwait,1986,False
1735,Macao,Brunei,5,1,Macao,,Preliminary round,Kuwait,1986,False
1736,Macao,China,2,0,Macao,,Preliminary round,Tbilisi,1986,False
1737,Macao,Hong Kong,4,0,Macao,,Preliminary round,Moskva,1986,False
1738,Madagascar,Egypt,3,0,Madagascar,,Preliminary round,Tbilisi,1986,False
1739,Malawi,Mauritius,0,0,draw,,Preliminary round,Paramaribo,1986,False
1740,Malawi,Morocco,1,0,Malawi,,Preliminary round,Stockholm,1986,False
1741,Malaysia,Nepal,3,0,Malaysia,,Preliminary round,Stockholm,1986,False
1742,Malaysia,South Korea,2,1,Malaysia,,Preliminary round,Basel,1986,False
1743,Malta,Czechoslovakia,2,2,draw,,Preliminary round,Luzern,1986,False
1744,Malta,FRG,4,0,Malta,,Preliminary round,Paramaribo,1986,False
1745,Malta,Portugal,0,0,draw,,Preliminary round,Bern,1986,False
1746,Malta,Sweden,0,1,Sweden,,Preliminary round,Riyadh,1986,False
1747,Mauritius,Malawi,1,1,draw,,Preliminary round,Stockholm,1986,False
1748,Morocco,Egypt,0,2,Egypt,,Preliminary round,Riyadh,1986,False
1749,Morocco,FRG,4,0,Morocco,,Preliminary round,Abidjan,1986,False
1750,Morocco,Libya,0,0,draw,,Preliminary round,Taipei,1986,False
1751,Morocco,Malawi,0,0,draw,,Preliminary round,Taipei,1986,False
1752,Morocco,Sierra Leone,0,1,Sierra Leone,,Preliminary round,Stockholm,1986,False
1753,Nepal,Malaysia,2,0,Nepal,,Preliminary round,Taipei,1986,False
1754,Nepal,South Korea,0,0,draw,,Preliminary round,Taipei,1986,False
1755,Netherlands,Austria,0,3,Austria,,Preliminary round,Istanbul,1986,False
1756,Netherlands,Belgium,0,3,Belgium,,Preliminary round,Izmir,1986,False
1757,Netherlands,Cyprus,0,1,Cyprus,,Preliminary round,Ankara,1986,False
1758,Netherlands,Hungary,1,2,Hungary,,Preliminary round,Bern,1986,False
1759,New Zealand,Australia,3,2,New Zealand,,Preliminary round,Montevideo,1986,False
1760,New Zealand,Israel,1,2,Israel,,Preliminary round,Montevideo,1986,False
1761,New Zealand,Taiwan,1,0,New Zealand,,Preliminary round,Caracas,1986,False
1762,Nigeria,Kenya,0,1,Kenya,,Preliminary round,Caracas,1986,False
1763,Nigeria,Liberia,5,0,Nigeria,,Preliminary round,Dar es Salaam,1986,False
1764,Nigeria,Tunisia,2,2,draw,,Preliminary round,Swansea,1986,False
1765,North Korea,Japan,0,0,draw,,Preliminary round,Wrexham,1986,False
1766,North Korea,Singapore,5,1,North Korea,,Preliminary round,Split,1986,False
1767,North Yemen,Kuwait,1,1,draw,,Preliminary round,Beograd,1986,False
1768,North Yemen,Syria,5,0,North Yemen,,Preliminary round,Novi Sad,1986,False
1769,Northern Ireland,England,1,0,Northern Ireland,,Preliminary round,Kinshasa,1986,False
1770,Northern Ireland,Finland,0,2,Finland,,Preliminary round,Dar es Salaam,1986,False
