id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1230,90,1,0
1231,47,2,1
1232,67,1,3
1233,92,1,2
1234,153,0,3
1235,114,1,1
1236,115,0,9
1237,50,0,1
1238,84,2,0
1239,192,0,3
1240,61,0,4
1241,204,2,0
1242,47,3,2
1243,67,0,1
1244,86,0,2
1245,153,0,8
1246,42,0,6
1247,42,1,1
1248,146,0,1
1249,180,1,2
1250,211,1,2
1251,222,1,1
1252,21,1,2
1253,52,0,3
1254,140,1,1
1255,148,0,0
1256,194,1,0
1257,57,3,1
1258,225,3,1
1259,120,0,1
1260,200,2,1
1261,88,4,2
1262,88,1,0
1263,79,1,1
1264,103,0,1
1265,225,1,3
1266,56,2,3
1267,35,0,2
1268,158,1,2
1269,36,2,3
1270,215,0,2
1271,175,0,5
1272,226,3,0
1273,56,1,3
1274,184,1,1
1275,202,0,9
1276,200,0,1
1277,205,2,2
1278,105,2,3
1279,120,0,2
1280,194,1,2
1281,163,0,1
1282,47,0,1
1283,67,1,2
1284,86,0,1
1285,92,5,2
1286,102,1,4
1287,148,2,0
1288,68,3,1
1289,159,1,1
1290,135,0,1
1291,3,1,0
1292,105,1,2
1293,146,0,6
1294,144,0,3
1295,3,0,1
1296,50,0,0
1297,90,0,4
1298,102,0,1
1299,174,0,3
1300,149,0,1
1301,108,0,2
1302,145,2,2
1303,144,0,2
1304,61,0,0
1305,91,0,1
1306,145,0,2
1307,95,0,0
1308,95,1,2
1309,36,1,6
1310,130,0,3
1311,54,2,3
1312,206,2,2
1313,57,2,0
1314,72,0,1
1315,135,1,2
1316,35,0,4
1317,206,0,6
1318,74,0,0
1319,142,0,0
1320,31,2,1
1321,81,1,4
1322,144,2,2
1323,145,2,0
1324,74,1,0
1325,97,4,6
1326,142,1,0
1327,198,3,0
1328,31,1,3
1329,75,1,2
1330,81,1,3
1331,173,1,4
1332,52,1,8
1333,76,0,1
1334,100,1,4
1335,28,1,1
1336,220,0,6
1337,25,0,4
1338,220,0,4
1339,14,1,0
1340,75,0,3
1341,56,1,0
1342,135,0,2
1343,67,1,2
1344,91,1,0
1345,65,1,1
1346,155,0,5
1347,109,0,2
1348,142,0,4
1349,173,1,4
1350,156,1,1
1351,217,0,4
1352,36,0,2
1353,67,2,0
1354,140,0,1
1355,95,6,4
1356,211,3,0
1357,222,1,3
1358,35,1,1
1359,103,2,2
1360,225,0,1
1361,41,0,2
1362,155,0,0
1363,135,2,5
1364,91,0,0
1365,94,1,3
1366,163,0,1
1367,13,1,2
1368,97,0,1
1369,142,1,0
1370,198,2,1
1371,2,6,0
1372,81,2,3
1373,21,2,0
1374,52,0,2
1375,140,1,4
1376,127,1,3
1377,158,1,1
1378,2,0,1
1379,14,0,2
1380,31,0,2
1381,75,0,2
1382,57,0,0
1383,119,1,0
1384,225,2,1
1385,145,0,1
1386,50,2,2
1387,130,0,2
1388,36,3,1
1389,50,1,1
1390,67,0,3
1391,91,2,0
1392,130,2,0
1393,68,1,0
1394,149,0,0
1395,163,2,4
1396,109,1,0
1397,173,0,2
1398,198,1,3
1399,3,0,2
1400,3,0,5
1401,88,0,1
1402,42,1,2
1403,102,3,1
1404,159,0,3
1405,174,0,2
1406,68,1,1
1407,94,1,2
1408,195,0,1
1409,41,0,3
1410,65,0,0
1411,43,3,0
1412,217,3,2
1413,77,0,2
1414,127,0,1
1415,174,0,3
1416,194,2,0
1417,17,7,0
1418,99,3,2
1419,173,0,2
1420,196,1,0
1421,94,0,4
1422,149,1,1
1423,195,0,0
1424,42,0,2
1425,109,0,1
1426,142,1,2
1427,102,1,4
1428,148,0,4
1429,194,1,2
1430,124,0,0
1431,201,2,0
1432,148,2,0
1433,159,3,2
1434,68,0,0
1435,94,0,0
1436,163,1,0
1437,17,0,5
1438,173,1,3
1439,13,0,1
1440,74,3,0
1441,97,2,5
1442,142,1,0
1443,54,0,1
1444,211,0,2
1445,222,1,1
1446,54,2,0
1447,206,0,2
1448,222,0,0
1449,43,0,2
1450,156,0,0
1451,25,0,5
1452,28,1,0
1453,95,0,0
1454,211,2,2
1455,83,1,1
1456,103,2,1
